Gender,Age,Cohab_alone,Cohab_partner,Cohab_child,Occupation,Ethnicity,Education,Housing,Isolation,Pet_ownership,Animal_dog,Animal_cat,Animal_small,Animal_bird,Animal_fish,Animal_reptile,Animal_amphib,Animal_horse,Animal_farm,Animal_other,Animal_amount,Non_pet,Animal_addition,Animal_consid,Animal_role,Animal_closest,CCA_companion,CCA_care,CCA_activity,CCA_constancy,CCA_needed,CCA_play,CCA_love,CCA_comfort,CCA_watch,CCA_loved,CCA_trust,CCA_family,Worry_financial,Worry_food,Worry_vet,Worry_ill,Worry_exercise,Worry_covid,Worry_work,Worry_routine,Worry_other,Worry_none,Worry_other_text,Givingup_animal,Animal_emotion,Animal_active,Animal_social,Animal_family_pos,Animal_family_neg,Animal_without,Animal_not,SWEMWBS_optim,SWEMWBS_useful,SWEMWBS_relaxed,SWEMWBS_dealing,SWEMWBS_clearly,SWEMWBS_people,SWEMWBS_mind,MHI_s_nervous,MHI_s_down,MHI_s_calm,MHI_s_blue,MHI_s_happy,MHI_b_nervous,MHI_b_down,MHI_b_calm,MHI_b_blue,MHI_b_happy,UCLA_s_companion,UCLA_s_leftout,UCLA_s_isolated,UCLA_b_companion,UCLA_b_leftout,UCLA_b_isolated,Social_familyfriends,Activities_birds,Activities_wildlife,Activities_watching,Activities_working,Activities_riding,Activities_farm,Activities_webcam,Activities_other,Activities_time
1,5,0,1,0, ,1, ,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,1,0,0,0, ,1, ,2,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,1,0,1,0, ,2, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,2,0,0,1, ,1, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,2,1,0,0, ,1, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,4,0,1,1, ,1, ,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,3,0,1,1, ,1, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,3,0,0,1, ,1, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,1,0,0,0, ,1, ,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,4,0,1,1, ,1, ,4,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,2,0,1,0, ,1, ,4,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,2,0,1,1, ,2, ,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,2,0,1,0, ,1, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,4,0,0,0, ,1, ,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,1,0,0,0, ,1, ,6,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,3,0,1,1, ,1, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,4,0,1,0, ,1, ,4,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,3,0,1,0, ,1, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,5,0,1,0, ,1, ,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,6,0,0,0, ,1, ,4,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,6,0,1,0, ,1, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,5,0,0,0, ,1, ,4,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,5,1,0,0, ,7, ,4,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,3,0,1,0, ,1, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,2,0,1,0, ,1, ,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,3,0,1,0, ,1, ,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,5,0,1,0, ,1, ,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,7,0,0,0, ,1, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,4,1,0,0, ,1, ,6,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,4,1,0,0, ,1, ,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,4,0,0,0, ,1, ,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,5,0,1,0, ,1, ,6,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,4,1,0,0, ,1, ,2,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,2,1,0,0, ,5, ,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,4,0,1,0, ,1, ,2,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,2,0,1,1, ,1, ,6,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,2,0,1,0, ,1, ,4,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,2,0,0,0, ,1, ,6,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,5,0,1,0, ,8, ,6,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,6,1,0,0, ,1, ,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,4,0,0,0, ,1, ,2,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,1,0,0,0, ,1, ,2,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,1,0,0,0, ,1, ,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,4,0,1,1, ,1, ,6,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,2,0,1,0, ,1, ,1,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,3,0,0,1, ,1, ,4,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,5,0,0,0, ,1, ,3,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,2,0,1,0, ,1, ,1,0,0, , , , , , , , , , , ,3, ,3, , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,2,0,1,0, ,1, ,1,0,0, , , , , , , , , , , ,3, ,3, , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,3,0,1,1, ,1, ,2,0,0, , , , , , , , , , , ,3, ,3, , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,1,0,0,0, ,2, ,2,1,0, , , , , , , , , , , ,3, ,3, , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,4,0,1,1, ,1, ,1,0,0, , , , , , , , , , , ,2, ,3, , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , , , , , 
2,3,0,1,1, ,1, ,4,0,0, , , , , , , , , , , ,2, ,3, , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1, , ,1, ,1, 
2,5,0,1,0, ,1, ,2,0,0, , , , , , , , , , , ,2, ,3, , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , ,2
2,5,0,1,0, ,1, ,1,0,0, , , , , , , , , , , ,2, ,3, , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,5
2,2,0,1,1, ,1, ,2,0,0, , , , , , , , , , , ,3, ,3, , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , , , , ,2
2,1,0,1,0, ,1, ,2,0,0, , , , , , , , , , , ,3, ,3, , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1, , , ,1, ,5
2,5,0,1,0, ,1, ,2,1,0, , , , , , , , , , , ,4, ,3, , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , , ,1, ,3
2,1,0,0,1, ,1, ,4,1,0, , , , , , , , , , , ,3, ,3, , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1, , , ,1,1,3
1,7,1,0,0, ,1, ,4,1,0, , , , , , , , , , , ,3, ,3, , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , ,1, ,3
1,2,0,1,0, ,2, ,1,0,0, , , , , , , , , , , ,3, ,3, , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , , , , ,1
1,7,0,1,0, ,1, ,2,1,0, , , , , , , , , , , ,3, ,3, , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , ,2
2,3,0,1,1, ,1, ,1,0,0, , , , , , , , , , , ,2, ,3, , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1, , , , , ,5
2,2,0,1,0, ,1, ,2,1,0, , , , , , , , , , , ,2, ,3, , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , ,3,3,4,3,3,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,2,0,1,0, ,1, ,1,0,0, , , , , , , , , , , ,2, ,3, , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , ,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , ,1, , , , , ,1
2,7,0,1,0, ,1, ,1,1,0, , , , , , , , , , , ,4, ,3, , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , ,3,4,3,3,1,3,1, , , , , , , , , , , , , , , , , ,1, , , , , ,1, ,5
2,2,0,0,0, ,1, ,3,0,0, , , , , , , , , , , ,3, ,3, , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , ,1,1,1,2,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , 
2,1,0,1,0, ,1, ,1,0,0, , , , , , , , , , , ,3, ,3, , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , ,2,3,3,2,2,2,3, , , , , , , , , , , , , , , , , , , ,1, , ,1, , ,3
1,4,1,0,0, ,1, ,1,0,0, , , , , , , , , , , ,4, ,3, , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , ,4,3,4,4,3,4,3, , , , , , , , , , , , , , , , , , , , , , , , , , 
2,4,0,1,1, ,1, ,1,0,0, , , , , , , , , , , ,2, ,3, , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , ,3,2,3,3,3,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,1,2
2,3,0,0,1, ,1, ,2,1,0, , , , , , , , , , , ,2, ,3, , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , ,3,2,3,3,3,4,2, , , , , , , , , , , , , , , , , ,1,1,1, , ,1,1, ,5
2,5,0,1,0, ,1, ,3,1,0, , , , , , , , , , , ,5, ,3, , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , ,1,1,3,2,1,1,2, , , , , , , , , , , , , , , , , ,1, , ,1, , , , ,5
2,3,0,1,0, ,1, ,2,0,0, , , , , , , , , , , ,2, ,3, , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , ,4,3,3,2,2,1,1,6,6,3,6,5,4,6,3,6,5, , , , , , , ,1, ,1, , ,1, , ,4
2,3,0,1,1, ,1, ,1,1,0, , , , , , , , , , , ,3, ,3, , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , ,3,4,5,2,3,5,2,6,6,5,4,4,6,6,5,5,5, , , , , , , ,1,1, , , ,1,1, ,3
1,2,0,1,0, ,1, ,1,0,0, , , , , , , , , , , ,5, ,3, , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , ,3,3,2,2,2,3,1,5,5,4,5,2,4,4,5,4,3,2,2,1,1,2,1, ,1,1,1, , ,1, , ,5
2,2,0,0,1, ,1, ,2,1,0, , , , , , , , , , , ,1, ,3, , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , ,3,2,4,3,1,4,1,2,4,4,4,3,3,5,2,5,2,3,3,3,2,2,2,2, , , , , , , , ,2
2,5,0,1,0, ,1, ,1,0,0, , , , , , , , , , , ,3, ,3, , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , ,2,2,2,2,1,3,1,6,5,4,6,2,6,6,1,6,1,3,3,2,2,2,2,5,1, , , , , , , , 
2,2,0,1,1, ,8, ,6,1,0, , , , , , , , , , , ,3, ,3, , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , ,3,4,2,2,3,2,2,6,6,2,5,2,5,6,2,6,2,1,1,1,1,1,1,1, , , , , , , , , 
2,7,0,1,0, ,1, ,1,1,0, , , , , , , , , , , ,3, ,3, , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , ,2,3,3,2,2,2,1,6,5,4,5,2,6,6,1,6,1,1,1,2,1,1,2,4,1, ,1, , , , , ,5
2,2,0,1,1, ,1, ,4,1,0, , , , , , , , , , , ,3, ,3, , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , ,3,4,4,3,3,3,2,3,5,4,5,4,5,6,3,5,2,1,1,2,1,1,1,2,1, , , , ,1,1, ,1
2,6,0,1,0, ,1, ,2,0,0, , , , , , , , , , , ,4, ,1, , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,1,1,0,0, ,1, ,1,0,0, , , , , , , , , , , ,5, ,1, , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,5
1,3,0,1,0, ,1, ,4,1,0, , , , , , , , , , , ,5, ,1, , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , ,1, ,5
2,3,0,0,1, ,1, ,2,0,0, , , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , ,3,2,3,3,2,4,3, , , , , , , , , , , , , , , , , , , , , , ,1,1, ,3
2,7,0,1,0, ,1, ,1,1,0, , , , , , , , , , , ,5, ,1, , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , ,2,1,3,2,2,1,1, , , , , , , , , , , , , , , , , ,1,1, , , , , , ,5
1,1,0,0,0, ,8, ,4,0,0, , , , , , , , , , , ,5, ,2, , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , ,3,2,3,2,3,1,1,1,4,2,4,2,1,4,3,5,3,3,3,3,3,3,3,1,1,1,1, , ,1,1, ,5
1,4,0,0,0, ,1, ,3,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,1,0,0,0, ,1, ,4,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,1,0,0,0, ,1, ,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,4,0,1,1, ,1, ,2,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,3,0,1,0, ,1, ,2,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,3,0,1,1, ,1, ,1,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,4,1,0,0, ,1, ,4,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,4,0,1,0, ,1, ,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,4,0,1,0, ,1, ,4,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,7,0,0,0, ,1, ,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,3,1,0,0, ,1, ,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,4,0,1,0, ,1, ,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,5,0,1,1, ,1, ,1,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,7,1,0,0, ,1, ,6,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,4,0,1,0, ,1, ,2,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,6,0,1,0, ,1, ,2,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,2,1,0,0, ,1, ,2,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
